значение;пример
1;Если в каком-то месте вам попадается тонкая берёста, её надо резать медленно, очень острым лезвием, которое следует постоянно оправлять (подтачивать) на ремне из кожи, предварительно покрывая его алмазной пастой или пастой Гоя (так парикмахеры раньше точили бритвы)
1;Я чувствовал, как острые лезвия слегка надавливают на виски, и под их напором лопается моя несчастная тонкая кожа
1;Гуцульский топор с узким острым лезвием на длинной, необычайно удобной рукоятке, буковая колода рассыпалась как будто сама, почти без усилия, не было сучков, тесных мест (надо вспомнить слово), в которых увязал топор. 
1;Острым ножом или лезвием безопасной бритвы заточим, как показано на рисунке, кончик спички и приклеим к нему хвостовое оперение
1;Будучи одна в квартире (её гражданский муж, врач ?скорой помощи?, как раз дежурил), она открыла дверь ? вероятно, кому-то, кого знала, ? и этот знакомый первым делом прямо в прихожей острым лезвием (скорее всего, медицинским скальпелем) перерезал ей горло
1;Вздутия в виде воздушных пузырей устраняют путём надреза дефектного места посередине вдоль волокон острым ножом или скальпелем с наклоном под углом 30
1;Та, кого старуха назвала Васютой, молча подошла к костру, большим острым ножом распластала жирную, чуть не на килограмм весом рыбину, проткнула её палочками ? рожнами ? и приспособила у огня.
1;Они привязывали к палке острый нож и срезали им узелок с продуктами, висевший в форточке второго этажа
1;Чтобы быстро подогнать стандартную по размеру пробку для ёмкости с узким горлышком, нужно вырезать на боковой стороне пробки острым ножом клин
1;Можно удалить надпись механически острой бритвой, если толщина бумаги позволяет
1;Она отскоблила острой бритвой от таблетки несколько крупинок, приняв которые я утром еле встала.
1;Рана глубокая и ровная, нанесена чем-то очень острым ? бритвой?
1;Для разреза пользуйтесь монтажным ножом или острыми ножницами
1;Карл острыми, блестящими, кривыми ножницами обрезал мне ногти, а я трясла в воздухе руками и смеялась
1;Нужно нарезать пленку сначала на узенькие полосочки вдоль (не доходя до края), а потом крошить эти полосочки острыми маленькими ножницами поперек, чтобы получались микроскопические сверкающие квадратики. 
1;Он упал с лошади, ударился об острый край котла, валявшегося на земле, и через несколько часов умер.
1;Но не заметил острого края сломанной кровати и зацепился за него своими бинтами.
1;Менять ее надо ежедневно, периодически подрезая при этом острым ножом нижнюю часть стебля, который все еще продолжает удлиняться в воде.
1;В конце концов ему удалось вскрыть банку об острый край бампера своего автомобиля
1;Это можно делать не только пальцем, но и рукоятью ножа, углом магазина от автомата, ребром монеты и любым предметом с острым краем.
2;Сначала для приготовления куриных крылышек под острым соусом надо приготовить маринад.
2;Русские блюда, язвительно писал один из руководителей Коминтерна Карл Радек, подаются в европейских ресторанах без острого соуса настоящей московской кухни.
2;Посолить, заправить маслом и уксусом и начать готовить острый томатный соус, который подают отдельно.
2;Мероприятие было ангажированным, под острый соус и великолепные отбивные нарождающаяся партия с импровизированной трибуны хотела запустить бациллу политики в светлые умы.
2;Обычно это были щи, жаркое, свинина в сметанном соусе, солонина и ветчина, холодное мясо с солёными огурцами или лимонами, острые соусы с пряностями, каши, студень, паштет, овощи, зелёный горошек.
2;Жевнул, причмокивая и ощущая солененький острый вкус, глянул на оставшуюся половинку с торчащими из дырочки рыжиками, ему стало ее жалко, и он отправил ее вслед за первой.
2;Сушёные листья розмарина придают пище изысканный аромат, напоминающий запах сосны, и пряный, слегка острый вкус. 
2;Но, как убеждены жители Данилова, местный красный лук ? лидер среди всех луков не только по гармоничному сладко-острому вкусу, но и по своим целебным свойствам.
2;Если же салат готовят только из листьев руколы, его острый вкус можно смягчить, добавив несколько капель лимонного сока.
2;Молодые нежные листья листовой горчицы имеют тонкий, нежный и одновременно слегка острый изысканный вкус, напоминающий горчицу.
2;Туда отправляем мелко нарезанными репчатый лук, копченый бекон или сырое жирное мясо, имбирь, сладкий перец, острый перец, всяческие приправы.
2;Перед внутренним взором вставали то заискивающая улыбка Панкевича, то огромный паром, на палубах которого толпились тысячи темных, крикливых людей и висел остро пахнущий перцем пар.
2;Примером может служить смесь для маринования огурцов, помидоров и грибов, которая содержит: по 1 части гвоздики, белого или чёрного перца, душистого перца, семян кориандра, белой горчицы, а также 1-2 стручка острого сушёного красного перца и 3 лавровых листа.
2;Из-за угрозы потери всхожести не следует прогревать семена сладкого и острого перцев.
2;Этим же рассолом капусту промывают и перекладывают в менее концентрированный, добавляя острый красный перец, редис, много чеснока и имбирь.
2;В шесть часов дежурные подают скромный завтрак: рис, варёные овощи и кимчи (традиционное острое блюдо из овощей). 
2; Эми Ли Тащится от китайской еды, острых экзотических блюд и сложносочиненных соусов.
2;"Что касается антиизжоговой диеты, она не рекомендует совмещать фрукты и овощи, крахмалистые и жирные продукты; предписывает избегать твердой пищи, цитрусовых, томатов, острых и жареных блюд"
2;Половое возбуждение усиливается после крепкого чая, кофе, от шоколада, острых блюд и, конечно, алкогольных напитков
2;А из рациона следует исключить острые блюда, мед, шоколад, другие сладости, картофель. 
3;Воскресенский обладал талантом окрашивания трудных часов на старте острыми шутками и всегда к месту.
